filename,NEG_VOT,VOT,VOWEL,F0_quarter,F0_vowel_onset
AE1_3_102_dill_6,--undefined--,0.021985462522519,0.262832370003112,252.839525060877,247.903614449053
AE1_3_102_dill_7,--undefined--,0.020282353075128,0.257350668437205,258.213329946898,249.835511570131
AE1_3_102_dill_8,--undefined--,0.0308784082131,0.202429303985589,250.377142376293,247.308690395704
AE1_3_102_dill_9,--undefined--,0.021051854128777,0.193825664509005,255.380716518466,252.61734485361
AE1_4_102_till_0,--undefined--,0.100333856619571,0.163805237951415,236.622251304697,239.883944846689
AE1_4_102_till_1,--undefined--,0.111922486479518,0.129240274921338,230.803204791458,240.260499730278
AE1_4_102_till_2,--undefined--,0.090284857282745,0.192794326907553,245.601533838833,243.841830467639
AE1_4_102_till_3,--undefined--,0.085691409847724,0.147862707840218,240.56519068406,243.442077713669
AE1_4_102_till_4,--undefined--,0.077912142208973,0.17342098777962,243.384456388006,232.556567318113
AE1_4_102_till_5,--undefined--,0.077220978066743,0.203620696698401,247.53476315288,257.800470714817
AE1_4_102_till_6,--undefined--,0.078269698600963,0.17318394034027,248.684572239881,255.265975130084
AE1_4_102_till_7,--undefined--,0.079422198102988,0.183755404932871,243.939680352748,245.167299686917
AE1_4_102_till_8,--undefined--,0.085549767147008,0.178895319776654,244.428185768618,243.036456177546
AE1_4_102_till_9,--undefined--,0.086208278824351,0.184127125850338,237.950903867846,241.544087504323
AE1_5_103_din_0,--undefined--,0.01640785024992,0.159625011731322,233.601991389504,236.094196498577
AE1_5_103_din_1,0.106924733996163,0.014545413084079,0.150971454912668,236.724637560191,234.767653744949
AE1_5_103_din_2,--undefined--,0.018572288620266,0.177222456178239,223.620123272639,225.737324794009
AE1_5_103_din_3,--undefined--,0.020746983460821,0.158814113734536,231.650589575045,225.598400488015
AE1_5_103_din_4,--undefined--,0.014823834038118,0.158237741297771,234.793035349374,244.463906762178
AE1_5_103_din_5,0.100260838239929,0.020179193628675,0.168883944024127,227.723883000171,225.160361549891
AE1_5_103_din_6,0.079806384092098,0.020242579116612,0.16325358775461,230.253627461798,234.330867711836
AE1_5_103_din_7,--undefined--,0.014455901158506,0.142989777534911,250.554018395871,244.418769438154
AE1_5_103_din_8,0.105567481169686,0.019649719942326,0.151329025103838,238.487939902649,234.248150747078
AE1_5_103_din_9,--undefined--,0.016296522858355,0.158403134333366,239.130264487245,241.952719745125
AE1_6_103_tin_0,--undefined--,0.086759175892578,0.119140176002549,255.030861228827,251.706338986703
AE1_6_103_tin_1,--undefined--,0.079005128455204,0.128030952352155,260.516697278884,255.310254495344
AE1_6_103_tin_2,--undefined--,0.088366522874424,0.112621715215575,252.837529590534,251.726859975644
AE1_6_103_tin_3,--undefined--,0.08787743408789,0.130522067216681,258.652297993077,249.209234902731
AE1_6_103_tin_4,--undefined--,0.083489431964761,0.133114686859628,260.642309332262,253.334141867082
AE1_6_103_tin_5,--undefined--,0.081598935226264,0.134179569559873,250.368092950397,248.709456304359
AE1_6_103_tin_6,--undefined--,0.086475056470505,0.122083237335339,250.742037147111,251.00007085813
AE1_6_103_tin_7,--undefined--,0.058827838827838,0.137654667805045,280.696795342931,274.00319034553
AE1_6_103_tin_8,--undefined--,0.085719555991755,0.137460814232444,264.677697955019,255.18084494581
AE1_6_103_tin_9,--undefined--,0.06786537385517,0.1302469721448,266.858433718638,266.731066489638
AE1_7_104_dim_0,0.14844954648526,0.016506156263674,0.152917475093631,243.586621128704,244.794730263869
AE1_7_104_dim_1,--undefined--,0.020057407114436,0.150009038068283,259.200472886192,259.224986018402
AE1_7_104_dim_2,--undefined--,0.015764726905253,0.134496069837688,238.188230056498,238.996822529015
AE1_7_104_dim_3,--undefined--,0.018058720326433,0.159579045217498,252.453026175753,256.963478057272
AE1_7_104_dim_4,--undefined--,0.023333452679317,0.159435428279259,255.090842810624,252.61954965452
AE1_7_104_dim_5,--undefined--,0.019857268598202,0.14091366599801,253.672352945296,256.254234297073
AE1_7_104_dim_6,--undefined--,0.020564963774358,0.178616931205855,258.191985970759,253.212357302717
AE1_7_104_dim_7,0.075510930959435,0.018461863447069,0.16415396931659,244.922579788996,241.074299026784
AE1_7_104_dim_8,--undefined--,0.018976380085597,0.160777441196004,258.4352643107,257.842302179716
AE1_7_104_dim_9,--undefined--,0.020056924416295,0.158268763818469,253.585578009753,250.669246585152
AE1_8_104_tim_0,--undefined--,0.110845025020467,0.119607810171779,254.860566257639,257.999028830699
AE1_8_104_tim_1,--undefined--,0.10240424452472,0.129181895622402,229.751362396439,230.419944480879
AE1_8_104_tim_2,--undefined--,0.079111784520833,0.118252848728588,234.262958664487,238.135518870686
AE1_8_104_tim_3,--undefined--,0.091950040700041,0.120974573070697,235.887441077339,232.551869843518
AE1_8_104_tim_4,--undefined--,0.078101692380926,0.107985713185357,247.357236725083,245.613774643615
AE1_8_104_tim_5,--undefined--,0.074677354145791,0.108459128593964,243.349827610004,241.657671744411
AE1_8_104_tim_6,--undefined--,0.074638019652298,0.136128188987037,247.259134208271,248.73829030169
AE1_8_104_tim_7,--undefined--,0.089934742322491,0.119277835349266,244.835478672077,244.127533071444
AE1_8_104_tim_8,--undefined--,0.067686420722133,0.133399497894395,251.79924985359,242.669054738153
AE1_8_104_tim_9,--undefined--,0.060817285066982,0.137535172839939,255.955217174715,258.041386821953
