filename,vowel,f0_5ms_into_vowel,f0_10ms_into_vowel,f0_15ms_into_vowel,f0_20ms_into_vowel,f0_25ms_into_vowel,f0_30ms_into_vowel
dimtim_VOT65_F0249,0.12671287846665358,249.12048245716574,248.86110674282818,248.63008492472977,248.43542198091316,248.26314642095508,248.11074925658417
dimtim_VOT70_F0249,0.12500476667143445,248.6421886445248,248.6155786348611,248.51471316578423,248.38420858606534,248.22528674418368,248.0572253787342
dimtim_VOT75_F0249,0.12649272925659183,249.48812594383608,249.27482134325047,249.04204937393783,248.8031916349208,248.5701336438843,248.36947938496877
dimtim_VOT80_F0249,0.12209818477045609,249.56439252977648,249.34158143185581,249.09599989570827,248.8657032104671,248.64845069944153,248.4385007911536
dimtim_VOT85_F0249,0.12043624141012899,249.80945589644833,249.3868901322845,248.99420508482524,248.63028128752646,248.28218889038257,247.94543818951894
dimtim_VOT90_F0250,0.11908415464951361,249.78005477039682,249.35908144919583,248.97077519560926,248.61874746495042,248.30270639557443,248.00298322311963
dimtim_VOT95_F0250,0.11862775223961464,249.54126589328772,249.35350496236177,249.1333805583631,248.87976664457662,248.59509374764045,248.28630305610645
dimtim_VOT100_F0250,0.11866895772747199,249.7733653827367,249.57282405871223,249.36188151799064,249.09266547656352,248.7884665843798,248.4673030030064
dimtim_VOT-10_F0246,0.13884595135648325,246.8983369566713,247.13733352454838,247.3413252850551,247.52974459508212,247.70865139762472,247.87829569875674
dimtim_VOT-20_F0245,0.14220260048129418,245.91436970767816,246.1944465883264,246.41833984219926,246.62130408693193,246.8166347075585,247.03401479802102
dimtim_VOT-30_F0245,0.14220260048129418,246.0397455625232,246.22960655322836,246.44161922596314,246.65096396782488,246.84515405020468,247.04448067911528
dimtim_VOT-40_F0245,0.14361261584367213,246.15916087484558,246.299350315664,246.47140326860082,246.66618755614147,246.86882363653294,247.07480705062062
dimtim_VOT-50_F0244,0.14236302795261402,245.1253688917901,245.31005920624352,245.5177825468294,245.74215130677004,245.98411430258676,246.24041404718506
dimtim_VOT-60_F0244,0.14236302795261402,245.02257198852078,245.26824588187912,245.50088782776774,245.73290983555276,245.9694276574823,246.21650842390144
dimtim_VOT-70_F0244,0.14236302795261402,245.09178040541218,245.28862496601585,245.50625355634685,245.73552451503255,245.9789979431492,246.23242769148996
dimtim_VOT-80_F0243,0.1427270333177404,243.18922317904511,243.52411410881066,243.84342890796623,244.13505417812763,244.4194338899218,244.71006521047647
dimtim_VOT-90_F0243,0.1441425551657325,243.15820209374226,243.4951453825138,243.82622033823134,244.12848961255017,244.40794396982454,244.69756139225586
dimtim_VOT-100_F0242,0.14288432968776377,242.29619895756642,242.64701976929697,242.96063236561622,243.2649907085437,243.57496041085093,243.89355927657618
dimtim_VOT105_F0250,0.11061255113872903,249.75483546773248,249.40782342458056,249.10215187844292,248.74299082959317,248.34853020546063,247.92467925191977
dimtim_VOT110_F0250,0.10699306946352394,249.61950946093407,249.39591935697953,249.0910700543601,248.7182579364334,248.25796198372885,247.77573783888414
dimtim_VOT115_F0250,0.10829354115318424,250.02902776886435,249.78055078081405,249.44287314411437,249.0647984373555,248.63461424181182,248.18126951994478
dimtim_VOT120_F0251,0.11140161682650174,249.88255209954417,249.5964255288204,249.29343110450793,248.9656662076956,248.6068282805248,248.21147717654281
dimtim_VOT125_F0251,0.10668716489972851,250.1666725444159,249.93910656870045,249.60081056317694,249.20534837157737,248.76585704589382,248.29809305180393
dimtim_VOT130_F0251,0.10525947180398987,250.54604893272275,250.19482095747753,249.80834458843583,249.38833425146836,248.93842089499833,248.4607069720648
dimtim_VOT135_F0251,0.10112059213622615,250.59316954154087,250.28696864071657,249.86554567421013,249.39621211575297,248.87806634045216,248.33003828626576
dimtim_VOT140_F0252,0.10112252151141021,250.96631559270244,250.69638540208527,250.37315613573975,249.9417306403598,249.44837741797926,248.89317168350289
dimtim_VOT145_F0252,0.09361984126984524,251.22022507625744,250.89313474799766,250.52441089189443,250.0589064334794,249.53961594841564,248.9669439662345
dimtim_VOT150_F0252,0.09372346540566312,250.96353859280816,250.77389055092425,250.39222780321785,249.884385824454,249.34119940185772,248.78674456723107
