session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,English speaking Monolingual,First Language,Nationality,Sex,Student Status
62884344818be5575d76cbff,6115c8cbd1923433e1832a02,RETURNED,2022-05-21 01:41:58.513000,,219665.863141,25,1061,10,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6288435b385ec08cb9c41ea3,5f7a28b8bedcf2112ebd1289,RETURNED,2022-05-21 01:42:42.580000,,219621.815291,36,1473,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
6288435f96e55ffae0422ca9,5f01b9892b6ad501d933a117,APPROVED,2022-05-21 01:45:10.636000,2022-05-21 02:15:50.109000,1839.473,46,1215,2,100,2022-05-23 09:00:28.998000,81A407F4,Guam,United States,Other,I only know English,English,United States,Female,No
62884361e723410b3ebd2622,5ae3a41d32ef52000131a531,APPROVED,2022-05-21 01:41:56.183000,2022-05-21 02:00:14.619000,1098.436,24,2385,0,100,2022-05-23 09:00:29.699000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Male,No
62884365e9bdf577b3d4624c,6029acb673830e93bcc9230f,RETURNED,2022-05-21 01:42:20.046000,,219644.407697,71,1732,25,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628843714078b0cbd756ab4d,5b5c8d4e10aec90001ed4bee,APPROVED,2022-05-21 01:42:11.979000,2022-05-21 01:57:37.009000,925.03,23,2250,2,100,2022-05-23 09:00:30.314000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Female,No
6288437c621944f0ef0ea1c5,5d60b5beea1c1c0001c98bf6,APPROVED,2022-05-21 01:45:51.653000,2022-05-21 02:14:34.178000,1722.525,64,2112,0,100,2022-05-23 09:00:30.885000,81A407F4,United States,United States,Full-Time,I only know English,English,United States,Female,DATA EXPIRED
62884386778b8ff50cf7fd94,614f75c032f05a135099017b,RETURNED,2022-05-21 01:42:37.324000,,219627.178093,70,1259,13,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
628843937fb9fe3eb6c21e7f,60838e2e91a6300001f9ac89,APPROVED,2022-05-21 01:50:50.278000,2022-05-21 02:28:12.050000,2241.772,40,1170,1,100,2022-05-23 09:00:32.411000,81A407F4,United States,United States,DATA EXPIRED,I only know English,English,United States,Female,No
628843c2c65c458239ed7d24,61bb392e40db417c1a138dcb,APPROVED,2022-05-21 01:43:39.672000,2022-05-21 02:09:53.229000,1573.557,48,891,9,98,2022-05-23 09:00:33.956000,81A407F4,United States,United States,Part-Time,I only know English,English,United States,Female,No
