workerid,proliferate.condition,participant_id,error
160,Shift0_fwd_ExpBlockB,f030bc15-7653-47a7-a4e9-a0c28898329f,
179,Shift0_fwd_ExpBlockB,f7a87e53-964e-4290-9c50-a7b5da975369,
205,Shift40_fwd_ExpBlockC,01bcafff-af58-403f-b824-90a1e6b93bdb,
395,Shift40_fwd_ExpBlockC,01d4f77b-8c99-4e00-8d3b-da906ba29b4f,
243,Shift40_fwd_ExpBlockC,59f1ff45-a49f-4b17-bef7-7c707aad61fc,
390,Shift40_fwd_ExpBlockC,70e8d7cf-235e-4e81-9e24-2ce00795ed33,
373,Shift40_fwd_ExpBlockC,ecba59a5-14eb-484b-a037-fbc0f22385f6,
296,Shift10_fwd_ExpBlockB,11a21264-a406-487a-9dd9-15288c203837,
232,Shift10_fwd_ExpBlockB,1d5cc04c-e79e-4f77-833f-0235c26191d5,
393,Shift10_fwd_ExpBlockB,91ff2810-b1e6-4695-a9be-a4c5b0e4d552,
189,Shift10_fwd_ExpBlockB,a15f945b-b937-44f9-8886-b306d53b4f81,
338,Shift10_fwd_ExpBlockB,dfe8e1b2-36f9-4c00-aa2b-520cd21639ae,
