Item.MinimalPair,Item.Filename,Item.VOT.measured,Item.VOT,Item.f0,Item.f0.measured,Item.VowelDuration.measured,Item.VowelDuration
dintin,dintin_VOT90_F0250.wav,90,90,250,249.31272551512367,128.79037622217382,101.15249433106575
dintin,dintin_VOT95_F0250.wav,95,95,250,248.9926475602435,124.654180749868,97.89902489636226
dintin,dintin_VOT100_F0250.wav,100,100,250,249.19617172383172,123.21156139994828,94.4813135130591
dintin,dintin_VOT105_F0250.wav,105,105,250,249.1867835384286,118.9594904753406,95.21858880004253
dintin,dintin_VOT110_F0250.wav,110,110,250,249.59580489954115,118.91507821248835,92.18525505440311
dintin,dintin_VOT115_F0250.wav,115,115,250,249.2920247497161,111.42058737788574,94.18586800773454
dintin,dintin_VOT120_F0251.wav,120,120,251,249.30344327562543,111.42280103820924,89.62654535498338
dintin,dintin_VOT125_F0251.wav,125,125,251,249.60693410225377,109.71628443164504,92.5178708410268
diptip,diptip_VOT-20_F0245.wav,-20,-20,245,242.77998451265316,125.0700619230738,125.0700619230738
diptip,diptip_VOT-15_F0245.wav,-15,-15,245,242.5221974362868,126.74975780609543,126.74975780609543
diptip,diptip_VOT-10_F0246.wav,-10,-10,246,243.3054405913865,126.2027258455829,126.2027258455829
diptip,diptip_VOT-5_F0246.wav,-5,-5,246,243.2642389479053,122.31903017617364,122.31903017617364
diptip,diptip_VOT0_F0246.wav,0,0,246,243.6061598588868,128.6186743414408,128.6186743414408
diptip,diptip_VOT5_F0246.wav,5,5,246,244.20759375478823,128.66984223067846,128.66984223067846
diptip,diptip_VOT10_F0247.wav,10,10,247,244.6720119822753,127.55163723934527,127.55163723934527
diptip,diptip_VOT15_F0247.wav,15,15,247,243.36176379178417,123.14242814242782,123.14242814242782
diptip,diptip_VOT20_F0247.wav,20,20,247,244.57867528557617,123.20247496362047,123.20247496362047
diptip,diptip_VOT25_F0247.wav,25,25,247,244.6242269015087,118.43372611906489,118.43372611906489
diptip,diptip_VOT30_F0247.wav,30,30,247,244.8844086791832,118.49231622473422,118.49231622473422
diptip,diptip_VOT35_F0247.wav,35,35,247,245.55095086835453,115.97507303221556,115.97507303221556
diptip,diptip_VOT40_F0248.wav,40,40,248,245.54975211643065,117.6782633343194,117.6782633343194
diptip,diptip_VOT45_F0248.wav,45,45,248,246.06995044628837,117.62353040906603,117.62353040906603
diptip,diptip_VOT50_F0248.wav,50,50,248,246.77688740798564,112.25416805313948,112.25416805313948
diptip,diptip_VOT55_F0248.wav,55,55,248,245.7118965522326,109.39713998880408,109.39713998880408
diptip,diptip_VOT60_F0248.wav,60,60,248,246.0977984966142,108.31624219935954,108.31624219935954
diptip,diptip_VOT65_F0249.wav,65,65,249,246.99562847088987,109.34057310074864,109.34057310074864
diptip,diptip_VOT70_F0249.wav,70,70,249,246.95739808570264,104.24515807511092,104.24515807511092
diptip,diptip_VOT75_F0249.wav,75,75,249,247.1941704579017,103.83320463320445,103.83320463320445
diptip,diptip_VOT80_F0249.wav,80,80,249,247.27300968151073,102.21738870987096,102.21738870987096
diptip,diptip_VOT85_F0249.wav,85,85,249,247.86639911004607,105.17205712694457,105.17205712694457
diptip,diptip_VOT90_F0250.wav,90,90,250,247.7823308780239,101.15249433106575,101.15249433106575
diptip,diptip_VOT95_F0250.wav,95,95,250,248.3592456765409,97.89902489636226,97.89902489636226
diptip,diptip_VOT100_F0250.wav,100,100,250,248.36377283585296,94.4813135130591,94.4813135130591
diptip,diptip_VOT105_F0250.wav,105,105,250,249.0445160426436,95.21858880004253,95.21858880004253
diptip,diptip_VOT110_F0250.wav,110,110,250,248.750678936598,92.18525505440311,92.18525505440311
diptip,diptip_VOT115_F0250.wav,115,115,250,249.23248197734551,94.18586800773454,94.18586800773454
diptip,diptip_VOT120_F0251.wav,120,120,251,249.0396461932975,89.62654535498338,89.62654535498338
diptip,diptip_VOT125_F0251.wav,125,125,251,249.9342854554344,92.5178708410268,92.5178708410268
