filename,vowel,f0_5ms_into_vowel,f0_10ms_into_vowel,word,VOT,target_f0,vowel_duration
dilltill_VOT20_F0247,0.1014670543660543,246.4251811797743,246.0997072311877,dilltill,20,F0247,101.4670543660543
dilltill_VOT25_F0247,0.10442468788281722,246.71850120027665,246.3839124553488,dilltill,25,F0247,104.42468788281722
dilltill_VOT30_F0247,0.10257888407888416,246.4336356152299,246.25344989912728,dilltill,30,F0247,102.57888407888416
dilltill_VOT35_F0247,0.10205690725708472,246.4158990489234,246.27387861780377,dilltill,35,F0247,102.05690725708472
dilltill_VOT40_F0248,0.10207982028383712,246.99513002966717,246.84367224164325,dilltill,40,F0248,102.07982028383712
dilltill_VOT45_F0248,0.09675554636269013,247.62607415237073,247.435768164754,dilltill,45,F0248,96.75554636269013
dilltill_VOT5_F0246,0.10996073181187072,245.9103859694349,245.62016706592567,dilltill,5,F0246,109.96073181187072
dilltill_VOT50_F0248,0.09871422168671806,247.59750472588175,247.4912724393542,dilltill,50,F0248,98.71422168671806
dilltill_VOT55_F0248,0.09453664700691532,247.6556308426438,247.50319699429176,dilltill,55,F0248,94.53664700691532
dilltill_VOT60_F0248,0.0949755786243358,247.97202245975123,247.71521104890303,dilltill,60,F0248,94.9755786243358
dilltill_VOT65_F0249,0.0885336839006321,247.98841079372625,247.8227027754941,dilltill,65,F0249,88.5336839006321
dilltill_VOT70_F0249,0.09183483045728023,248.21458263371517,248.0238508157354,dilltill,70,F0249,91.83483045728023
dilltill_VOT75_F0249,0.08479473830348283,248.55675043703005,248.27770669985995,dilltill,75,F0249,84.79473830348283
dilltill_VOT80_F0249,0.08725161537969583,248.82985019058736,248.5357078412929,dilltill,80,F0249,87.25161537969583
dilltill_VOT85_F0249,0.08254930099115398,249.03384756041436,248.6046166121638,dilltill,85,F0249,82.54930099115398
dilltill_VOT90_F0250,0.08383257044189385,249.1559571778594,248.82902412982705,dilltill,90,F0250,83.83257044189385
dilltill_VOT95_F0250,0.08374230857403031,249.3605036663976,249.08889128414256,dilltill,95,F0250,83.74230857403032
dimtim_VOT-10_F0246,0.14060022848203246,245.7860207963442,246.51291707287783,dimtim,-10,F0246,140.60022848203246
dimtim_VOT-100_F0242,0.144554171547707,242.05248905676368,242.41448733137904,dimtim,-100,F0242,144.554171547707
dimtim_VOT-20_F0245,0.1439422113257418,245.55749189500995,245.94748250311824,dimtim,-20,F0245,143.94221132574182
dimtim_VOT-30_F0245,0.1439422113257418,245.9190371488677,246.09779237381824,dimtim,-30,F0245,143.94221132574182
dimtim_VOT-40_F0245,0.14535222668811798,245.74434965363525,246.0427442829192,dimtim,-40,F0245,145.35222668811798
dimtim_VOT-50_F0244,0.14398823264861527,244.8272694397,245.10066080255655,dimtim,-50,F0244,143.98823264861528
dimtim_VOT-60_F0244,0.1441027542896709,244.8449073902478,245.09710960479424,dimtim,-60,F0244,144.10275428967088
dimtim_VOT-70_F0244,0.14402990727212384,244.9306947119766,245.1413079886199,dimtim,-70,F0244,144.02990727212384
dimtim_VOT-80_F0243,0.14435126740592352,242.9386479179947,243.2914459962397,dimtim,-80,F0243,144.35126740592352
dimtim_VOT-90_F0243,0.14588459772914675,242.9140412988296,243.2579611335794,dimtim,-90,F0243,145.88459772914675
dimtim_VOT0_F0246,0.1395654470508591,245.99302855802227,246.1774031819592,dimtim,0,F0246,139.5654470508591
dimtim_VOT10_F0247,0.14510427140250126,247.2921764578469,247.16440327744937,dimtim,10,F0247,145.10427140250127
dimtim_VOT100_F0250,0.12052292196339742,249.91079763196456,249.71767912618608,dimtim,100,F0250,120.52292196339742
dimtim_VOT105_F0250,0.11244065502620516,250.1949252958325,249.7270001685623,dimtim,105,F0250,112.44065502620516
dimtim_VOT110_F0250,0.1092954277227456,249.75567984971812,249.5909593788252,dimtim,110,F0250,109.2954277227456
dimtim_VOT115_F0250,0.11062102765129468,250.23290574629868,250.0128797101156,dimtim,115,F0250,110.62102765129468
